,0,1,2,3,4,5,6,7,8,9
0,204.0,0.0,21.0,10.0,0.0,66.0,69.0,8.0,15.0,7.0
1,7.0,376.0,6.0,2.0,2.0,0.0,2.0,0.0,4.0,1.0
2,7.0,9.0,286.0,7.0,13.0,11.0,38.0,6.0,18.0,5.0
3,3.0,4.0,15.0,277.0,4.0,42.0,8.0,12.0,28.0,7.0
4,16.0,3.0,2.0,4.0,296.0,7.0,28.0,11.0,5.0,28.0
5,64.0,5.0,3.0,42.0,11.0,201.0,25.0,16.0,22.0,11.0
6,5.0,1.0,14.0,4.0,19.0,8.0,335.0,4.0,8.0,2.0
7,17.0,12.0,21.0,2.0,11.0,1.0,7.0,305.0,3.0,21.0
8,33.0,7.0,17.0,23.0,14.0,44.0,25.0,5.0,227.0,5.0
9,34.0,5.0,6.0,9.0,30.0,17.0,6.0,41.0,13.0,239.0
