,0,1,2,3,4,5,6,7,8,9
0,320.0,0.0,9.0,6.0,0.0,27.0,18.0,2.0,17.0,1.0
1,1.0,377.0,10.0,5.0,1.0,0.0,2.0,0.0,3.0,1.0
2,4.0,8.0,318.0,11.0,10.0,6.0,19.0,5.0,14.0,5.0
3,0.0,3.0,15.0,310.0,6.0,23.0,5.0,10.0,22.0,6.0
4,5.0,4.0,2.0,6.0,317.0,5.0,15.0,10.0,4.0,32.0
5,51.0,5.0,6.0,45.0,14.0,207.0,11.0,17.0,33.0,11.0
6,15.0,2.0,19.0,7.0,19.0,6.0,321.0,4.0,7.0,0.0
7,11.0,11.0,22.0,2.0,12.0,1.0,5.0,309.0,3.0,24.0
8,17.0,5.0,16.0,28.0,14.0,22.0,11.0,8.0,274.0,5.0
9,13.0,5.0,5.0,13.0,28.0,9.0,3.0,34.0,17.0,273.0
